fixture_id,competition,home,away,market,model_probability_pct,market_brier_skill_pct,market_ece_pct,bin_n,bin_prediction_pct,bin_actual_pct,bin_gap_pct,reliable,low_volatility,grade,block_reasons
1492322,BSA,RB Bragantino,SC Corinthians Paulista,AWAY_WIN,25.24,12.13,4.8,89,25.024129826015027,24.719101123595504,0.3050287024195242,True,False,C,
1492322,BSA,RB Bragantino,SC Corinthians Paulista,1X,74.76,12.13,4.8,89,74.97587017398497,75.28089887640449,0.3050287024195186,True,True,A,
1492322,BSA,RB Bragantino,SC Corinthians Paulista,X2,53.0,12.79,5.78,79,55.86818212232498,56.9620253164557,1.093843194130717,True,False,C,
1492322,BSA,RB Bragantino,SC Corinthians Paulista,OVER_1_5,66.01,-3.49,5.61,91,66.31038376626354,73.62637362637363,7.315989860110084,False,False,BLOQUEADO,BRIER_SKILL_BAJO | BIN_MAL_CALIBRADO
1492322,BSA,RB Bragantino,SC Corinthians Paulista,OVER_2_5,39.36,-3.87,8.43,42,35.75115438460837,54.761904761904766,19.0107503772964,False,False,BLOQUEADO,BRIER_SKILL_BAJO | ECE_ALTO | BIN_MAL_CALIBRADO
1492322,BSA,RB Bragantino,SC Corinthians Paulista,UNDER_3_5,80.72,-3.4,5.97,52,83.62765394739486,71.15384615384616,12.473807793548708,False,False,BLOQUEADO,BRIER_SKILL_BAJO | BIN_MAL_CALIBRADO
1492322,BSA,RB Bragantino,SC Corinthians Paulista,BTTS,44.28,-3.55,9.29,132,45.48797536776174,56.060606060606055,10.572630692844315,False,False,BLOQUEADO,BRIER_SKILL_BAJO | ECE_ALTO | BIN_MAL_CALIBRADO
1492322,BSA,RB Bragantino,SC Corinthians Paulista,HOME_SCORES,74.11,1.63,5.49,107,74.95913459841844,81.30841121495327,6.349276616534826,False,False,BLOQUEADO,BRIER_SKILL_BAJO | BIN_MAL_CALIBRADO
1492322,BSA,RB Bragantino,SC Corinthians Paulista,AWAY_SCORES,59.75,5.3,1.19,63,55.93474711143354,55.55555555555556,0.3791915558779779,True,False,C,
1492329,BSA,Santos FC,CA Paranaense,HOME_WIN,43.24,12.79,5.78,79,44.13181787767503,43.03797468354431,1.093843194130717,True,False,C,
1492329,BSA,Santos FC,CA Paranaense,DRAW,26.53,0.5,1.47,272,24.95044789479565,25.735294117647054,0.7848462228514014,False,False,BLOQUEADO,BRIER_SKILL_BAJO
1492329,BSA,Santos FC,CA Paranaense,AWAY_WIN,30.24,12.13,4.8,86,34.65358529164496,26.744186046511626,7.909399245133331,False,False,BLOQUEADO,BIN_MAL_CALIBRADO
1492329,BSA,Santos FC,CA Paranaense,1X,69.76,12.13,4.8,86,65.34641470835506,73.25581395348837,7.909399245133319,False,False,BLOQUEADO,BIN_MAL_CALIBRADO
1492329,BSA,Santos FC,CA Paranaense,X2,56.76,12.79,5.78,79,55.86818212232498,56.9620253164557,1.093843194130717,True,False,C,
1492329,BSA,Santos FC,CA Paranaense,OVER_1_5,71.82,-3.49,5.61,148,74.88676365045852,75.0,0.1132363495414789,False,False,BLOQUEADO,BRIER_SKILL_BAJO
1492329,BSA,Santos FC,CA Paranaense,OVER_2_5,46.31,-3.87,8.43,122,44.88597461856113,53.278688524590166,8.392713906029037,False,False,BLOQUEADO,BRIER_SKILL_BAJO | ECE_ALTO | BIN_MAL_CALIBRADO
1492329,BSA,Santos FC,CA Paranaense,UNDER_3_5,75.18,-3.4,5.97,145,75.23052726219382,71.03448275862068,4.196044503573127,False,False,BLOQUEADO,BRIER_SKILL_BAJO
1492329,BSA,Santos FC,CA Paranaense,BTTS,50.92,-3.55,9.29,123,53.904687383889424,50.40650406504065,3.49818331884878,False,False,BLOQUEADO,BRIER_SKILL_BAJO | ECE_ALTO
1492329,BSA,Santos FC,CA Paranaense,HOME_SCORES,75.36,1.63,5.49,107,74.95913459841844,81.30841121495327,6.349276616534826,False,False,BLOQUEADO,BRIER_SKILL_BAJO | BIN_MAL_CALIBRADO
1492329,BSA,Santos FC,CA Paranaense,AWAY_SCORES,67.57,5.3,1.19,110,65.20653820674953,63.63636363636363,1.570174570385896,True,False,C,
